Exch,Token,exchange_token,TradingSymbol,Expiry,StrikePrice,instrument_type,segment,TickSize,lot_size
BCD,264741126,1034145,EURINR24OCTFUT,29-10-2024,0,FUT,BCD-FUT,0.0025,1
BCD,265969926,1038945,EURINR24NOVFUT,27-11-2024,0,FUT,BCD-FUT,0.0025,1
BCD,268449030,1048629,EURINR24DECFUT,27-12-2024,0,FUT,BCD-FUT,0.0025,1
BCD,269248262,1051751,EURINR25JANFUT,29-01-2025,0,FUT,BCD-FUT,0.0025,1
BCD,270018310,1054759,EURINR25FEBFUT,26-02-2025,0,FUT,BCD-FUT,0.0025,1
BCD,270682630,1057354,EURINR25MARFUT,27-03-2025,0,FUT,BCD-FUT,0.0025,1
BCD,271634182,1061071,EURINR25APRFUT,28-04-2025,0,FUT,BCD-FUT,0.0025,1
BCD,272665862,1065101,EURINR25MAYFUT,28-05-2025,0,FUT,BCD-FUT,0.0025,1
BCD,273476614,1068268,EURINR25JUNFUT,26-06-2025,0,FUT,BCD-FUT,0.0025,1
BCD,274486534,1072213,EURINR25JULFUT,29-07-2025,0,FUT,BCD-FUT,0.0025,1
BCD,275688966,1076910,EURINR25AUGFUT,27-08-2025,0,FUT,BCD-FUT,0.0025,1
BCD,276561926,1080320,EURINR25SEPFUT,26-09-2025,0,FUT,BCD-FUT,0.0025,1
BCD,264740870,1034144,GBPINR24OCTFUT,29-10-2024,0,FUT,BCD-FUT,0.0025,1
BCD,265969670,1038944,GBPINR24NOVFUT,27-11-2024,0,FUT,BCD-FUT,0.0025,1
BCD,268448774,1048628,GBPINR24DECFUT,27-12-2024,0,FUT,BCD-FUT,0.0025,1
BCD,269248006,1051750,GBPINR25JANFUT,29-01-2025,0,FUT,BCD-FUT,0.0025,1
BCD,270018054,1054758,GBPINR25FEBFUT,26-02-2025,0,FUT,BCD-FUT,0.0025,1
BCD,270682374,1057353,GBPINR25MARFUT,27-03-2025,0,FUT,BCD-FUT,0.0025,1
BCD,271633926,1061070,GBPINR25APRFUT,28-04-2025,0,FUT,BCD-FUT,0.0025,1
BCD,272665606,1065100,GBPINR25MAYFUT,28-05-2025,0,FUT,BCD-FUT,0.0025,1
BCD,273476358,1068267,GBPINR25JUNFUT,26-06-2025,0,FUT,BCD-FUT,0.0025,1
BCD,274486278,1072212,GBPINR25JULFUT,29-07-2025,0,FUT,BCD-FUT,0.0025,1
BCD,275688710,1076909,GBPINR25AUGFUT,27-08-2025,0,FUT,BCD-FUT,0.0025,1
BCD,276561670,1080319,GBPINR25SEPFUT,26-09-2025,0,FUT,BCD-FUT,0.0025,1
BCD,264741382,1034146,JPYINR24OCTFUT,29-10-2024,0,FUT,BCD-FUT,0.0025,1
BCD,265970182,1038946,JPYINR24NOVFUT,27-11-2024,0,FUT,BCD-FUT,0.0025,1
BCD,268449286,1048630,JPYINR24DECFUT,27-12-2024,0,FUT,BCD-FUT,0.0025,1
BCD,269248518,1051752,JPYINR25JANFUT,29-01-2025,0,FUT,BCD-FUT,0.0025,1
BCD,270018566,1054760,JPYINR25FEBFUT,26-02-2025,0,FUT,BCD-FUT,0.0025,1
BCD,270682886,1057355,JPYINR25MARFUT,27-03-2025,0,FUT,BCD-FUT,0.0025,1
BCD,271634438,1061072,JPYINR25APRFUT,28-04-2025,0,FUT,BCD-FUT,0.0025,1
BCD,272666118,1065102,JPYINR25MAYFUT,28-05-2025,0,FUT,BCD-FUT,0.0025,1
BCD,273476870,1068269,JPYINR25JUNFUT,26-06-2025,0,FUT,BCD-FUT,0.0025,1
BCD,274486790,1072214,JPYINR25JULFUT,29-07-2025,0,FUT,BCD-FUT,0.0025,1
BCD,275689222,1076911,JPYINR25AUGFUT,27-08-2025,0,FUT,BCD-FUT,0.0025,1
BCD,276562182,1080321,JPYINR25SEPFUT,26-09-2025,0,FUT,BCD-FUT,0.0025,1
BCD,275122950,1074699,USDINR24O25FUT,25-10-2024,0,FUT,BCD-FUT,0.0025,1
BCD,264740614,1034143,USDINR24OCTFUT,29-10-2024,0,FUT,BCD-FUT,0.0025,1
BCD,539726342,2108306,USDINR24O31FUT,31-10-2024,0,FUT,BCD-FUT,0.0025,1
BCD,275503878,1076187,USDINR24N08FUT,08-11-2024,0,FUT,BCD-FUT,0.0025,1
BCD,275797766,1077335,USDINR24N14FUT,14-11-2024,0,FUT,BCD-FUT,0.0025,1
BCD,276015110,1078184,USDINR24N22FUT,22-11-2024,0,FUT,BCD-FUT,0.0025,1
BCD,265969158,1038942,USDINR24NOVFUT,27-11-2024,0,FUT,BCD-FUT,0.0025,1
BCD,276184326,1078845,USDINR24N29FUT,29-11-2024,0,FUT,BCD-FUT,0.0025,1
BCD,276361222,1079536,USDINR24D06FUT,06-12-2024,0,FUT,BCD-FUT,0.0025,1
BCD,276608262,1080501,USDINR24D13FUT,13-12-2024,0,FUT,BCD-FUT,0.0025,1
BCD,276982022,1081961,USDINR24D20FUT,20-12-2024,0,FUT,BCD-FUT,0.0025,1
BCD,268448518,1048627,USDINR24DECFUT,27-12-2024,0,FUT,BCD-FUT,0.0025,1
BCD,541613062,2115676,USDINR25103FUT,03-01-2025,0,FUT,BCD-FUT,0.0025,1
BCD,541764102,2116266,USDINR25110FUT,10-01-2025,0,FUT,BCD-FUT,0.0025,1
BCD,269247750,1051749,USDINR25JANFUT,29-01-2025,0,FUT,BCD-FUT,0.0025,1
BCD,270017798,1054757,USDINR25FEBFUT,26-02-2025,0,FUT,BCD-FUT,0.0025,1
BCD,270682118,1057352,USDINR25MARFUT,27-03-2025,0,FUT,BCD-FUT,0.0025,1
BCD,271633670,1061069,USDINR25APRFUT,28-04-2025,0,FUT,BCD-FUT,0.0025,1
BCD,272665350,1065099,USDINR25MAYFUT,28-05-2025,0,FUT,BCD-FUT,0.0025,1
BCD,273476102,1068266,USDINR25JUNFUT,26-06-2025,0,FUT,BCD-FUT,0.0025,1
BCD,274486022,1072211,USDINR25JULFUT,29-07-2025,0,FUT,BCD-FUT,0.0025,1
BCD,275688454,1076908,USDINR25AUGFUT,27-08-2025,0,FUT,BCD-FUT,0.0025,1
BCD,276561414,1080318,USDINR25SEPFUT,26-09-2025,0,FUT,BCD-FUT,0.0025,1
BCD,539406598,2107057,EURINR24OCT97.5PE,29-10-2024,97.5,PE,BCD-OPT,0.0025,1
BCD,539409670,2107069,EURINR24OCT97.5CE,29-10-2024,97.5,CE,BCD-OPT,0.0025,1
BCD,539342854,2106808,EURINR24OCT97.25PE,29-10-2024,97.25,PE,BCD-OPT,0.0025,1
BCD,539345670,2106819,EURINR24OCT97.25CE,29-10-2024,97.25,CE,BCD-OPT,0.0025,1
BCD,539026182,2105571,EURINR24OCT97PE,29-10-2024,97,PE,BCD-OPT,0.0025,1
BCD,539028742,2105581,EURINR24OCT97CE,29-10-2024,97,CE,BCD-OPT,0.0025,1
BCD,539033862,2105601,EURINR24OCT96.75PE,29-10-2024,96.75,PE,BCD-OPT,0.0025,1
BCD,539036166,2105610,EURINR24OCT96.75CE,29-10-2024,96.75,CE,BCD-OPT,0.0025,1
BCD,539110918,2105902,EURINR24OCT96.5PE,29-10-2024,96.5,PE,BCD-OPT,0.0025,1
BCD,539113222,2105911,EURINR24OCT96.5CE,29-10-2024,96.5,CE,BCD-OPT,0.0025,1
BCD,539039750,2105624,EURINR24OCT96.25PE,29-10-2024,96.25,PE,BCD-OPT,0.0025,1
BCD,539043078,2105637,EURINR24OCT96.25CE,29-10-2024,96.25,CE,BCD-OPT,0.0025,1
BCD,539117574,2105928,EURINR24OCT96PE,29-10-2024,96,PE,BCD-OPT,0.0025,1
BCD,539120902,2105941,EURINR24OCT96CE,29-10-2024,96,CE,BCD-OPT,0.0025,1
BCD,538946566,2105260,EURINR24OCT95.75PE,29-10-2024,95.75,PE,BCD-OPT,0.0025,1
BCD,538949382,2105271,EURINR24OCT95.75CE,29-10-2024,95.75,CE,BCD-OPT,0.0025,1
BCD,539025926,2105570,EURINR24OCT95.5PE,29-10-2024,95.5,PE,BCD-OPT,0.0025,1
BCD,539028486,2105580,EURINR24OCT95.5CE,29-10-2024,95.5,CE,BCD-OPT,0.0025,1
BCD,538952966,2105285,EURINR24OCT95.25PE,29-10-2024,95.25,PE,BCD-OPT,0.0025,1
BCD,538956806,2105300,EURINR24OCT95.25CE,29-10-2024,95.25,CE,BCD-OPT,0.0025,1
BCD,539012102,2105516,EURINR24OCT95PE,29-10-2024,95,PE,BCD-OPT,0.0025,1
BCD,539016710,2105534,EURINR24OCT95CE,29-10-2024,95,CE,BCD-OPT,0.0025,1
BCD,539039494,2105623,EURINR24OCT94.75PE,29-10-2024,94.75,PE,BCD-OPT,0.0025,1
BCD,539042566,2105635,EURINR24OCT94.75CE,29-10-2024,94.75,CE,BCD-OPT,0.0025,1
BCD,539117318,2105927,EURINR24OCT94.5PE,29-10-2024,94.5,PE,BCD-OPT,0.0025,1
BCD,539120646,2105940,EURINR24OCT94.5CE,29-10-2024,94.5,CE,BCD-OPT,0.0025,1
BCD,539047942,2105656,EURINR24OCT94.25PE,29-10-2024,94.25,PE,BCD-OPT,0.0025,1
BCD,539051526,2105670,EURINR24OCT94.25CE,29-10-2024,94.25,CE,BCD-OPT,0.0025,1
BCD,539105030,2105879,EURINR24OCT94PE,29-10-2024,94,PE,BCD-OPT,0.0025,1
BCD,539108358,2105892,EURINR24OCT94CE,29-10-2024,94,CE,BCD-OPT,0.0025,1
BCD,538952454,2105283,EURINR24OCT93.75PE,29-10-2024,93.75,PE,BCD-OPT,0.0025,1
BCD,538956038,2105297,EURINR24OCT93.75CE,29-10-2024,93.75,CE,BCD-OPT,0.0025,1
BCD,539011590,2105514,EURINR24OCT93.5PE,29-10-2024,93.5,PE,BCD-OPT,0.0025,1
BCD,539016198,2105532,EURINR24OCT93.5CE,29-10-2024,93.5,CE,BCD-OPT,0.0025,1
BCD,538962438,2105322,EURINR24OCT93.25PE,29-10-2024,93.25,PE,BCD-OPT,0.0025,1
BCD,538967302,2105341,EURINR24OCT93.25CE,29-10-2024,93.25,CE,BCD-OPT,0.0025,1
BCD,539021062,2105551,EURINR24OCT93PE,29-10-2024,93,PE,BCD-OPT,0.0025,1
BCD,539023622,2105561,EURINR24OCT93CE,29-10-2024,93,CE,BCD-OPT,0.0025,1
BCD,539047430,2105654,EURINR24OCT92.75PE,29-10-2024,92.75,PE,BCD-OPT,0.0025,1
BCD,539050758,2105667,EURINR24OCT92.75CE,29-10-2024,92.75,CE,BCD-OPT,0.0025,1
BCD,539104518,2105877,EURINR24OCT92.5PE,29-10-2024,92.5,PE,BCD-OPT,0.0025,1
BCD,539108102,2105891,EURINR24OCT92.5CE,29-10-2024,92.5,CE,BCD-OPT,0.0025,1
BCD,539056902,2105691,EURINR24OCT92.25PE,29-10-2024,92.25,PE,BCD-OPT,0.0025,1
BCD,539061510,2105709,EURINR24OCT92.25CE,29-10-2024,92.25,CE,BCD-OPT,0.0025,1
BCD,539111942,2105906,EURINR24OCT92PE,29-10-2024,92,PE,BCD-OPT,0.0025,1
BCD,539114502,2105916,EURINR24OCT92CE,29-10-2024,92,CE,BCD-OPT,0.0025,1
BCD,538961670,2105319,EURINR24OCT91.75PE,29-10-2024,91.75,PE,BCD-OPT,0.0025,1
BCD,538966278,2105337,EURINR24OCT91.75CE,29-10-2024,91.75,CE,BCD-OPT,0.0025,1
BCD,539020806,2105550,EURINR24OCT91.5PE,29-10-2024,91.5,PE,BCD-OPT,0.0025,1
BCD,539023366,2105560,EURINR24OCT91.5CE,29-10-2024,91.5,CE,BCD-OPT,0.0025,1
BCD,538972422,2105361,EURINR24OCT91.25PE,29-10-2024,91.25,PE,BCD-OPT,0.0025,1
BCD,538976518,2105377,EURINR24OCT91.25CE,29-10-2024,91.25,CE,BCD-OPT,0.0025,1
BCD,539027206,2105575,EURINR24OCT91PE,29-10-2024,91,PE,BCD-OPT,0.0025,1
BCD,539029766,2105585,EURINR24OCT91CE,29-10-2024,91,CE,BCD-OPT,0.0025,1
BCD,539056390,2105689,EURINR24OCT90.75PE,29-10-2024,90.75,PE,BCD-OPT,0.0025,1
BCD,539060486,2105705,EURINR24OCT90.75CE,29-10-2024,90.75,CE,BCD-OPT,0.0025,1
BCD,539111686,2105905,EURINR24OCT90.5PE,29-10-2024,90.5,PE,BCD-OPT,0.0025,1
BCD,539114246,2105915,EURINR24OCT90.5CE,29-10-2024,90.5,CE,BCD-OPT,0.0025,1
BCD,539066374,2105728,EURINR24OCT90.25PE,29-10-2024,90.25,PE,BCD-OPT,0.0025,1
